goods_code	supplementary_unit	description
01012100	NAR	number of items
01012910	NAR	number of items
01012990	NAR	number of items
01013000	NAR	number of items
01019000	NAR	number of items
01022110	NAR	number of items
01022130	NAR	number of items
01022190	NAR	number of items
01022905	NAR	number of items
01022910	NAR	number of items
01022921	NAR	number of items
01022929	NAR	number of items
01022941	NAR	number of items
01022949	NAR	number of items
01022951	NAR	number of items
01022959	NAR	number of items
01022961	NAR	number of items
01022969	NAR	number of items
01022991	NAR	number of items
01022999	NAR	number of items
01023100	NAR	number of items
01023910	NAR	number of items
01023990	NAR	number of items
01029020	NAR	number of items
01029091	NAR	number of items
01029099	NAR	number of items
01031000	NAR	number of items
01039110	NAR	number of items
01039190	NAR	number of items
01039211	NAR	number of items
01039219	NAR	number of items
01039290	NAR	number of items
01041010	NAR	number of items
01041030	NAR	number of items
01041080	NAR	number of items
01042010	NAR	number of items
01042090	NAR	number of items
01051111	NAR	number of items
01051119	NAR	number of items
01051191	NAR	number of items
01051199	NAR	number of items
01051200	NAR	number of items
01051300	NAR	number of items
01051400	NAR	number of items
01051500	NAR	number of items
01059400	NAR	number of items
01059910	NAR	number of items
01059920	NAR	number of items
01059930	NAR	number of items
01059950	NAR	number of items
01061100	NAR	number of items
01061200	NAR	number of items
01061300	NAR	number of items
01061410	NAR	number of items
01062000	NAR	number of items
01063100	NAR	number of items
01063200	NAR	number of items
01063300	NAR	number of items
01063910	NAR	number of items
04071100	NAR	number of items
04071911	NAR	number of items
04071919	NAR	number of items
04071990	NAR	number of items
04072100	MIL	1 000 items
04072910	MIL	1 000 items
04072990	NAR	number of items
04079010	MIL	1 000 items
04079090	NAR	number of items
05111000	NAR	number of items
06011010	NAR	number of items
06011020	NAR	number of items
06011030	NAR	number of items
06011040	NAR	number of items
06011090	NAR	number of items
06022020	NAR	number of items
06022030	NAR	number of items
06022080	NAR	number of items
06023000	NAR	number of items
06024000	NAR	number of items
06029041	NAR	number of items
06029045	NAR	number of items
06029046	NAR	number of items
06029047	NAR	number of items
06029048	NAR	number of items
06029070	NAR	number of items
06029091	NAR	number of items
06029099	NAR	number of items
06031100	NAR	number of items
06031200	NAR	number of items
06031300	NAR	number of items
06031400	NAR	number of items
06031500	NAR	number of items
06031910	NAR	number of items
06031920	NAR	number of items
06031970	NAR	number of items
06042020	NAR	number of items
07115100	KGE	kilogram drained net weight
20011000	KGE	kilogram drained net weight
20031020	KGE	kilogram drained net weight
20031030	KGE	kilogram drained net weight
20057000	KGE	kilogram drained net weight
21039030	LPA	litre pure (100 %) alcohol
